"query_cell"	"pred_EML"	"sub_pred_EML"	"stage"	"prediction_score_max"	"pred_psdt"
"Human_Ulix_4_SIM5110A88"	"TE"	"TE"	"Early"	0.990471811217806	12.9351144205224
"Human_Ulix_5_SIM5110A142"	"TE"	"TE"	"Early"	0.989151476291986	13.750850183504
"Human_Ulix_5_SIM5110A146"	"TE"	"TE"	"Early"	0.985346688335266	13.8906923561158
"Human_DMSO_4_SIM5110A147"	"TE"	"TE"	"Early"	0.99575412345841	13.230974237217
"Human_Ulix_3_SIM5110A82"	"TE"	"TE"	"Early"	0.985813404274097	13.3651019063133
"Human_DMSO_1_SIM5110A38"	"TE"	"TE"	"Early"	0.999811294296397	15.0833684699411
"Human_Ulix_5_SIM5110A139"	"TE"	"TE"	"Early"	0.999557603244441	14.8271821828745
"Human_DMSO_3_SIM5110A63"	"TE"	"TE"	"Early"	0.952940735861863	15.8086441687154
"Human_DMSO_3_SIM5110A65"	"TE"	"TE"	"Early"	0.951365553054098	14.1158972626344
"Human_DMSO_1_SIM5110A41"	"TE"	"TE"	"Early"	0.999233806727431	15.1875781941081
"Human_Ulix_3_SIM5110A78"	"TE"	"TE"	"Early"	0.988443047074235	13.2582439769834
"Human_Ulix_5_SIM5110A137"	"TE"	"TE"	"Early"	0.99085076509733	14.2470535479322
"Human_DMSO_4_SIM5110A148"	"TE"	"TE"	"Early"	0.990760968893822	13.1186509777777
"Human_Ulix_5_SIM5110A125"	"TE"	"TE"	"Early"	0.999475346467604	14.9427981129646
"Human_Ulix_4_SIM5110A109"	"TE"	"TE"	"Early"	0.972523818618717	13.2199404354887
"Human_Ulix_5_SIM5110A138"	"TE"	"TE"	"Early"	0.969483850501445	14.1631098978927
"Human_Ulix_1_SIM5110A55"	"TE"	"TE"	"Early"	0.980826237460088	13.8226479048654
"Human_DMSO_4_SIM5110A149"	"TE"	"TE"	"Early"	0.965395666063294	14.1802551396824
"Human_DMSO_3_SIM5110A67"	"TE"	"TE"	"Early"	0.991254160917136	14.383415812401
"Human_DMSO_1_SIM5110A36"	"TE"	"TE"	"Early"	0.998555986703227	15.7002544607581
"Human_DMSO_5_3"	"TE"	"TE"	"Early"	0.986878500354455	14.2651686580514
"Human_Ulix_6_16"	"TE"	"TE"	"Early"	0.987728611524332	13.962983282626
"Human_DMSO_6_6"	"TE"	"TE"	"Early"	0.9770162413781	12.8573877855202
"Human_Ulix_7_7"	"TE"	"TE"	"Early"	0.994646928169328	12.902500397888
"Human_Ulix_7_5"	"TE"	"TE"	"Early"	0.995502365500122	12.8002414526832
"Human_Ulix_6_31"	"TE"	"TE"	"Early"	0.986651578275671	12.7640365716308
"Human_Ulix_6_13"	"TE"	"TE"	"Early"	0.98249982082661	12.7912856351803
"Human_DMSO_6_7"	"TE"	"TE"	"Early"	0.992688068994054	13.0916780814914
