"cell"	"UMAP_2"	"UMAP_1"	"devTime"	"EML"	"pj"
"Human_Ulix_5_SIM5110A133"	-2.69692349433899	-1.98023438453674	"None"	"Early_EPI"	"query"
"Human_Ulix_4_SIM5110A88"	-2.12890863418579	6.47194528579712	"None"	"TE"	"query"
"Human_Ulix_5_SIM5110A127"	-2.31532859802246	-1.43411183357239	"None"	"Early_EPI"	"query"
"Human_Ulix_4_SIM5110A85"	-2.4355263710022	-2.15955972671509	"None"	"Early_EPI"	"query"
"Human_Ulix_5_SIM5110A142"	-1.71560788154602	8.27268505096436	"None"	"TE"	"query"
"Human_Ulix_5_SIM5110A146"	-0.557242691516876	7.11816072463989	"None"	"TE"	"query"
"Human_DMSO_4_SIM5110A147"	-2.71409440040588	7.34979677200317	"None"	"TE"	"query"
"Human_Ulix_4_SIM5110A100"	-2.43904590606689	-1.45724618434906	"None"	"Early_EPI"	"query"
"Human_Ulix_3_SIM5110A82"	-2.48700523376465	7.96410703659058	"None"	"TE"	"query"
"Human_Ulix_4_SIM5110A104"	-2.46146130561829	-2.16868901252747	"None"	"Early_EPI"	"query"
"Human_DMSO_1_SIM5110A38"	1.04144585132599	6.20517206192017	"None"	"TE"	"query"
"Human_Ulix_5_SIM5110A139"	0.906469583511353	6.47453308105469	"None"	"TE"	"query"
"Human_DMSO_3_SIM5110A63"	2.86747884750366	5.71505403518677	"None"	"TE"	"query"
"Human_DMSO_3_SIM5110A65"	-1.67714166641235	7.22968149185181	"None"	"TE"	"query"
"Human_DMSO_1_SIM5110A41"	1.25985324382782	5.98112106323242	"None"	"TE"	"query"
"Human_Ulix_3_SIM5110A78"	-2.36362290382385	7.08926582336426	"None"	"TE"	"query"
"Human_Ulix_5_SIM5110A137"	-0.266353935003281	7.14409303665161	"None"	"TE"	"query"
"Human_DMSO_4_SIM5110A148"	-3.03464674949646	7.20638084411621	"None"	"TE"	"query"
"Human_Ulix_5_SIM5110A125"	1.52057588100433	6.31003427505493	"None"	"TE"	"query"
"Human_Ulix_4_SIM5110A109"	-2.21971464157104	6.86520099639893	"None"	"TE"	"query"
"Human_Ulix_5_SIM5110A138"	-1.17877340316772	7.54462003707886	"None"	"TE"	"query"
"Human_Ulix_1_SIM5110A55"	-1.16081571578979	6.87421274185181	"None"	"TE"	"query"
"Human_DMSO_4_SIM5110A149"	-0.348539024591446	8.28422260284424	"None"	"TE"	"query"
"Human_DMSO_3_SIM5110A67"	0.163808450102806	7.80915927886963	"None"	"TE"	"query"
"Human_DMSO_1_SIM5110A36"	2.67342591285706	6.33349609375	"None"	"TE"	"query"
"Human_DMSO_6_30"	-0.695326149463654	0.338086187839508	"None"	"Early_Hypoblast"	"query"
"Human_DMSO_6_29"	-2.38735818862915	-2.33727812767029	"None"	"Early_EPI"	"query"
"Human_DMSO_5_3"	-0.221302732825279	6.38512420654297	"None"	"TE"	"query"
"Human_Ulix_6_16"	-0.670487761497498	6.71989297866821	"None"	"TE"	"query"
"Human_DMSO_6_22"	-0.488483071327209	0.352062612771988	"None"	"Early_Hypoblast"	"query"
"Human_DMSO_5_15"	-2.5407235622406	-2.11160659790039	"None"	"Early_EPI"	"query"
"Human_DMSO_6_4"	-3.15800595283508	-1.69151496887207	"None"	"Early_EPI"	"query"
"Human_DMSO_6_6"	-2.37251091003418	5.92746067047119	"None"	"TE"	"query"
"Human_Ulix_6_21"	-2.43532133102417	-2.07920217514038	"None"	"Early_EPI"	"query"
"Human_DMSO_6_23"	-0.594093978404999	0.337911635637283	"None"	"Early_Hypoblast"	"query"
"Human_DMSO_5_23"	0.846377909183502	-6.29777717590332	"None"	"PriS"	"query"
"Human_Ulix_7_7"	-3.12465286254883	7.0483717918396	"None"	"TE"	"query"
"Human_DMSO_6_21"	-0.348603129386902	0.383507311344147	"None"	"Early_Hypoblast"	"query"
