TrackObjects_Label_1,DAPI,NANOG,GATA4,GATA3,BF,X,Y,Z,Lifetime,Area,Embryo_ID,TE_ICM,DAPI_Cor,NANOG_Cor,GATA4_Cor,GATA3_Cor,BF_Cor,Treatment,batch
40,41.33569052,14.43350755,63.94048393,4.67193057,51.456923460000006,257.61264148,296.69488319,20.5,10,4810,Control_1_241203,ICM,4.057943931796129,2.922654845152003,4.291992450069764,1.9376979755377268,3.957311589028174,Control,Batch 2
73,22.038641285714284,12.828472764285713,52.77525171428571,3.540689864285714,50.61941064285714,301.50837546428573,249.3322014357143,30.5,14,4557,Control_1_241203,ICM,3.593024499577528,2.928231650103825,4.16546690726264,1.8536755690933115,3.9489820186709967,Control,Batch 2
91,26.191409288888888,14.974774688888889,66.7274689111111,6.213248055555556,48.42955101111111,340.9348563888889,238.36898046666667,33,9,2305,Control_1_241203,ICM,3.8066597673757485,3.113795800572409,4.416386962450152,2.4643310200086463,3.906777257511748,Control,Batch 2
99,17.42977768571429,12.376507271428572,56.1763994,2.9790409,46.6372849,265.71057861428574,246.30066667142856,34,7,1511,Control_1_241203,ICM,3.4158110660056313,2.9355763271255575,4.250805724738221,1.7485882557828245,3.8698755082637364,Control,Batch 2
131,14.641317457142858,61.17283035714286,3.808028757142857,2.5731022857142856,43.07383265714286,299.6499739428571,202.0510784142857,40,7,1679,Control_1_241203,ICM,3.3398839999316685,4.607549655578003,1.598675829143297,1.7180373669715836,3.795239224211185,Control,Batch 2
147,5.6405328,40.17409917777778,3.810844677777778,1.3844057111111112,48.78242905555555,247.21094014444444,209.7864277888889,46,9,2209,Control_1_241203,ICM,2.4844303843263216,4.261146588163422,1.6386456909156764,1.2141623395168335,3.924541641535445,Control,Batch 2
151,7.312759539999999,37.72722932,3.9207492599999996,2.5885708,44.16825608,217.73108004,196.13365342,44,5,1673,Control_1_241203,ICM,2.711267021978994,4.1736141136483065,1.6539999688587539,1.8013193792980065,3.8235619497882105,Control,Batch 2
159,7.14445710952381,7.508547523809524,13.316578061904764,1.297890480952381,47.15655317142857,211.5702740857143,238.54220692380952,54,21,7176,Control_1_241203,ICM,2.8519908849668028,2.682745945271961,2.9420934049460072,1.3042136791175938,3.897108753720666,Control,Batch 2
173,8.139420194117648,28.141418158823527,3.8088588411764706,2.109853405882353,47.26509518235294,249.51364741764706,152.3038102,55,17,5306,Control_1_241203,ICM,2.998772037523669,4.01628270814907,1.6969704949636022,1.8093844146668603,3.9002158720183875,Control,Batch 2
174,6.7021893285714285,38.02619852857143,3.8405401857142856,1.9750879285714285,46.21719838571428,216.37742372857144,185.5727032,50,7,1973,Control_1_241203,ICM,2.7224862529182676,4.25558408481934,1.672561443372604,1.6467713202086922,3.873755677957282,Control,Batch 2
