ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,Intensity_MeanIntensity_C0,Intensity_MeanIntensity_C1,Intensity_MeanIntensity_C2,Intensity_MeanIntensity_C3,Intensity_MeanIntensity_C4,Intensity_MedianIntensity_C0,Intensity_MedianIntensity_C1,Intensity_MedianIntensity_C2,Intensity_MedianIntensity_C3,Intensity_MedianIntensity_C4,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Objects_frame_edge_filtered,TrackObjects_Label_1,TrackObjects_Lifetime_1,TrackObjects_ParentImageNumber_1,TrackObjects_ParentObjectNumber_1
1,1,238,323.218487394958,284.20588235294116,0.7416213601671097,0.34473554974719256,0.07712967756024304,0.5315208589705098,0.4208601163465436,0.9960784316062927,0.3137255012989044,0.07058823853731155,0.5333333611488342,0.43529412150382996,323.218487394958,284.20588235294116,0,1,1,nan,1,0.0,0
1,2,396,279.06060606060606,258.5429292929293,0.36753813606320007,0.32590612829333604,0.0980590243278203,0.5338582008173971,0.4320558578227506,0.3137255012989044,0.3019607961177826,0.0941176488995552,0.48627451062202454,0.43529412150382996,279.06060606060606,258.5429292929293,0,2,8,2.0,1,0.0,0
2,1,205,323.0243902439024,284.3414634146341,0.9070301326309762,0.3563653852881455,0.06936394266511609,0.6117455944782351,0.4235485501405669,1.0,0.3294117748737335,0.062745101749897,0.6117647290229797,0.43529412150382996,323.0243902439024,284.3414634146341,0,1,3,nan,2,1.0,1
2,2,345,275.6579710144928,258.1855072463768,0.7242171158393224,0.37506110610953275,0.10034669213860795,0.8568002331516017,0.4367718154105587,0.7745098173618317,0.3450980484485626,0.0941176488995552,1.0,0.43921568989753723,275.6579710144928,258.1855072463768,0,2,8,2.0,2,1.0,2
3,1,373,277.0053619302949,257.5924932975871,0.8862640023551103,0.3695947102822823,0.0888082871523164,0.9827366881971384,0.4359144241656439,0.95686274766922,0.3450980484485626,0.08235294371843338,1.0,0.4372549057006836,277.0053619302949,257.5924932975871,0,1,4,2.0,3,2.0,2
3,2,342,243.55263157894737,272.10818713450294,0.6175782712318046,0.28706571149329346,0.09928907506298601,0.35373237966532595,0.4343882648829828,0.5882353186607361,0.2666666805744171,0.09019608050584793,0.33725491166114807,0.43921568989753723,243.55263157894737,272.10818713450294,0,2,7,3.0,1,0.0,0
4,1,244,239.0204918032787,323.58196721311475,0.7979749358091198,0.25289296740513356,0.07426872594114088,0.8132754812230829,0.40009643858084915,0.8666666746139526,0.239215686917305,0.07058823853731155,0.9058823585510254,0.4000000059604645,239.0204918032787,323.58196721311475,0,1,1,4.0,1,0.0,0
4,2,214,217.07476635514018,306.25233644859816,0.8355140271030854,0.3113615627391873,0.08876672400179032,0.9624702235527127,0.44150633065499995,0.8784313797950745,0.2980392277240753,0.08235294371843338,1.0,0.43529412150382996,217.07476635514018,306.25233644859816,0,2,2,nan,1,0.0,0
4,3,227,207.99118942731278,289.94713656387665,0.8378336436816775,0.292148233543146,0.0909043816759329,0.7224496966022752,0.4423425819905319,0.9000000059604645,0.2823529541492462,0.09019608050584793,0.7549019753932953,0.44117647409439087,207.99118942731278,289.94713656387665,0,3,4,nan,1,0.0,0
4,4,548,280.35766423357666,256.27372262773724,0.8424359604607533,0.3442464665421387,0.08473594042465743,0.9701445558971732,0.43761271396040047,0.9058823585510254,0.3450980484485626,0.08235294371843338,1.0,0.43921568989753723,280.35766423357666,256.27372262773724,0,4,15,2.0,4,3.0,1
4,5,385,243.33766233766235,271.5168831168831,0.7202037313154765,0.2622663682544386,0.08840336375809335,0.42055514226486157,0.4350598493566761,0.7058823704719543,0.2549019753932953,0.08235294371843338,0.41960784792900085,0.44509804248809814,243.33766233766235,271.5168831168831,0,5,17,3.0,2,3.0,2
4,6,630,281.87619047619046,291.0698412698413,0.7639402526475134,0.35170246781337827,0.10445689663350109,0.9190040494004885,0.42961718695504325,0.800000011920929,0.3450980484485626,0.09803921729326248,1.0,0.4313725531101227,281.87619047619046,291.0698412698413,0,6,21,7.0,1,0.0,0
5,1,700,281.81714285714287,290.25142857142856,0.7779327846212046,0.32434174496680496,0.09842017082497477,0.9574341759511402,0.4208795589847224,0.7882353067398071,0.3137255012989044,0.09019608050584793,1.0,0.42352941632270813,281.81714285714287,290.25142857142856,0,1,3,7.0,2,4.0,6
5,2,287,239.5121951219512,323.11149825783974,0.8294049410039124,0.27996174915846217,0.07554827011368831,0.8637015853297835,0.3979367423763674,0.8764705955982208,0.2764706015586853,0.07058823853731155,0.9019607901573181,0.3921568691730499,239.5121951219512,323.11149825783974,0,2,5,4.0,2,4.0,1
5,3,615,280.9430894308943,255.29593495934958,0.7971369452350507,0.3221106414690735,0.07765343751818911,0.9648397908947333,0.4342547472657227,0.843137264251709,0.3137255012989044,0.07450980693101883,1.0,0.43529412150382996,280.9430894308943,255.29593495934958,0,3,7,2.0,5,4.0,4
5,4,223,217.54708520179372,306.1614349775785,0.7919106744730954,0.29058296814761353,0.083091534816163,0.9367625101264817,0.44028841072668407,0.8313725590705872,0.2823529541492462,0.0784313753247261,1.0,0.43529412150382996,217.54708520179372,306.1614349775785,0,4,11,nan,2,4.0,2
5,5,416,243.80769230769232,271.15625,0.6905071773351386,0.23579374729440764,0.08148567345611249,0.4227375669691425,0.4310991776605638,0.6666666865348816,0.239215686917305,0.0784313753247261,0.4274509847164154,0.4431372582912445,243.80769230769232,271.15625,0,5,14,3.0,3,4.0,5
5,6,207,221.28019323671498,291.2705314009662,0.7498531872091662,0.302434411637737,0.08602823017408019,0.8361845282468818,0.4273752092163344,0.7843137383460999,0.2862745225429535,0.0784313753247261,0.9647058844566345,0.42352941632270813,221.28019323671498,291.2705314009662,0,6,15,8.0,1,0.0,0
