TrackObjects_Label_1,DAPI,SOX2,pERK,BF,OTX2,Cyto_pERK,X,Y,Z,Lifetime,Area,Embryo_ID,TE_ICM,DAPI_Cor,SOX2_Cor,pERK_Cor,BF_Cor,OTX2_Cor,Cyto_pERK_Cor
44,16.99117582632874,32.7129253721287,3.3673725705958613,14.805368929523729,9.38232814191116,4.6851860255938576,189.19830994850048,218.20509464928156,36,44,2907,Emb1_211021,ICM,3.5148301550458037,3.7087942739720967,1.7439795871564931,2.6975236798833744,2.5991282447554624,2.1234512748229863
54,13.229671990093866,35.39677773374765,2.0592653116558184,14.747696543978206,6.919039816912141,6.096451455928841,207.3356087800081,210.8886039508671,42.5,54,2709,Emb1_211021,ICM,3.3877622575462554,3.8275511222832415,1.3478763588240275,2.6940770019150904,2.3596334076686882,2.491293641773174
61,17.41156031488325,21.89457666222517,3.1500232275452102,14.551847175229463,2.966454948567441,4.3677017254004955,214.04640093695798,252.79723435976382,47,61,2215,Emb1_211021,ICM,3.7476988948728125,3.3747986563804897,1.8391472344637587,2.6810240089154034,1.5577794856912655,2.2302082491307536
66,16.562238165913616,29.160585908806457,3.7055031457350363,15.329495609837615,9.263952330326731,4.5441025152665455,194.17737439096953,258.9282381519332,49.5,66,4193,Emb1_211021,ICM,3.7450602605111003,3.676725229806075,2.038344554795896,2.733260000548762,2.7215398404014577,2.310010673803882
73,12.249001218740174,24.7602294148426,1.8483701108293389,15.037687876368325,4.9133058521575315,2.1578040612082594,191.84570830225883,222.78218320730093,53,73,2424,Emb1_211021,ICM,3.5096996993524634,3.53463470025911,1.394366842917254,2.7142865969754335,2.122393788947566,1.6215898644382136
76,22.296300658938943,4.802726897831231,4.698097980302813,15.926414139190777,11.776552158991354,3.449663450308419,162.83678356651782,268.3640822559141,53.5,76,2360,Emb1_211021,ICM,4.11814642453728,1.8976663651832713,2.3345461107002676,2.7717407461309174,3.001549395105164,2.0988001237271146
78,24.2012376645803,2.46336098414204,2.134508029465637,15.750519569338021,24.410329968803136,2.550012996880794,214.27002608386678,284.3177040834483,56,78,3471,Emb1_211021,ICM,4.247499219433208,1.2453776256839952,1.5824429754097085,2.760810661285477,3.7554610676929596,1.8368421523562957
79,13.605825017592801,29.96440485668555,2.2248723580485446,17.117880063854788,3.7988589450238703,2.360729937242821,221.06155522213282,234.6925062566709,55.5,79,2806,Emb1_211021,ICM,3.6621226437539995,3.7407541347371445,1.6165458596545002,2.8440252380313407,1.8901736134147087,1.7516757029048107
81,39.745624287111234,6.623872996174378,2.220830276617701,14.596574159196443,12.964408580126264,2.2962919275528386,135.3822826242648,255.31957285388316,56,81,1701,Emb1_211021,ICM,4.743593582612996,2.234505700789414,1.6220860899719343,2.684724664501025,3.1226660836854307,1.7320436457088406
102,7.7001375031685875,1.4712505617864342,1.6816680318554087,15.273482685343302,7.93987402541752,2.160882021590841,188.165425461865,243.29884403845378,67,102,4157,Emb1_211021,ICM,3.3107711360040737,0.7975252668241204,1.5058941376018873,2.730827825918501,2.7424490775087365,1.8481913342824985
1,22.717504027906582,0.8732245827307049,2.1548880617183226,15.833528164619365,3.5679759588958255,2.0777489260123883,276.0918686385218,236.04165819724585,6.5,1,5045,Emb1_211021,TE,3.2463025162490937,-0.09554143103242593,0.8634466051490032,2.7625923151552447,1.3370788016056987,0.8358792443115151
2,21.432343713131537,1.3030065438252292,2.693400928830209,18.071174424118784,6.393427447058491,3.26331061189976,234.03869004626713,219.49536767214605,7.5,2,4488,Emb1_211021,TE,3.207016278953584,0.3107970933008551,1.1012203711503536,2.894850096915373,1.9303464862839619,1.3034029129708482
3,23.84889273584739,0.7784115644293412,2.9876592173623524,15.073763070864377,3.8895098176047624,2.896248826650007,265.02617720421307,274.37792792563636,6,3,3716,Emb1_211021,TE,3.285430338044944,-0.2135346087337594,1.1828265313479849,2.7133834957684915,1.4183571238908608,1.159954970068122
4,16.01973935015213,0.7307195157073991,1.725198036280098,16.064917530497727,5.256496609491008,2.0853430613445254,316.95077568881504,273.71752798498204,8,4,5588,Emb1_211021,TE,2.925412386709871,-0.2644729844859219,0.66313694426327,2.7772056493690687,1.7395481519162208,0.8636534009311224
5,25.908241001849987,1.054237275825692,4.680546633361553,15.808327339218014,4.223166803600995,4.816666283688546,228.65589377813887,255.31598614897638,11,5,7566,Emb1_211021,TE,3.4629936139136093,0.12044657290255409,1.7053248292236045,2.7613153264093184,1.5506974572675254,1.7490269020239715
6,20.88331494789191,0.7668647321860502,2.3703146316642556,16.734245876446003,5.3224825118455,2.6674495525282262,286.17678438253427,297.56290404300086,7,6,3925,Emb1_211021,TE,3.171591714835946,-0.22233816512915272,0.9660848822069268,2.817954616624941,1.7420149412494896,1.0937483406223767
7,14.469794037766587,1.1216225054868771,3.0612217086566553,16.077998789975393,5.2143769849203006,3.756099989083662,320.0835930554692,244.97330267293611,8,7,6211,Emb1_211021,TE,2.823654690925866,0.1639812209670672,1.2365838876911628,2.7780195878851375,1.7315031598984443,1.4520798739678327
8,15.051394850920797,0.9662267144235231,2.4645167953526705,16.252253395619203,5.999415858188991,3.304967200334294,256.5062298380431,193.15986055770256,9,8,6231,Emb1_211021,TE,2.88200984425537,0.021001948227495397,1.034490612939704,2.788869483911692,1.8817511885439757,1.3402128834376534
